"ORDERID","USERID","SALESREPPERSONID","CONTACTPERSONID","ORDERDATE","EXPECTEDDELIVERYDATE","CUSTOMERPURCHASEORDERNUMBER","ISUNDERSUPPLYBACKORDERED","PICKINGCOMPLETEDWHEN","LASTEDITEDBY","LASTEDITEDWHEN"
3958,41,20,1081,23-11-24,23-11-26,"19542",1,23-11-28,3,23-11-28
3959,447,8,2093,24-04-02,24-04-04,"15961",1,24-04-04,9,24-04-05
3960,11,13,1021,23-01-02,23-01-06,"14741",1,23-01-03,3,23-01-07
3961,535,2,2269,24-10-25,24-11-01,"11946",1,24-10-29,3,24-10-27
3962,48,7,1095,23-05-21,23-05-29,"19841",1,23-05-25,3,23-05-25
3963,131,3,1261,23-11-03,23-11-07,"16359",1,23-11-07,3,23-11-04
3964,582,14,2363,24-03-09,24-03-19,"18139",1,24-03-13,3,24-03-13
3965,31,3,1061,23-03-23,23-03-25,"12950",1,23-03-26,3,23-03-25
3966,429,8,2057,24-06-07,24-06-15,"10737",1,24-06-12,3,24-06-11
3967,580,14,2359,24-04-11,24-04-18,"16411",1,24-04-15,3,24-04-15
3968,570,8,2339,23-08-31,23-09-03,"19477",1,23-09-05,3,23-09-03
3969,91,6,1181,23-07-24,23-07-25,"12483",1,23-07-28,3,23-07-27
3970,437,2,2073,24-11-11,24-11-13,"14924",1,24-11-15,3,24-11-15
3971,978,15,3178,23-06-29,23-07-04,"13097",1,23-07-01,3,23-06-30
3972,150,13,1299,23-02-18,23-02-22,"18597",1,23-02-20,3,23-02-22
3973,52,3,1103,23-05-16,23-05-21,"10758",1,23-05-19,3,23-05-20
3974,5,3,1009,23-03-27,23-03-28,"13820",1,23-03-31,3,23-03-30
3975,951,16,3151,23-07-04,23-07-08,"10441",1,23-07-08,3,23-07-07
3976,552,14,2303,23-01-13,23-01-19,"10334",1,23-01-15,3,23-01-17
3977,134,7,1267,23-10-20,23-10-25,"11715",1,23-10-24,3,23-10-23
3978,409,7,2017,23-04-07,23-04-13,"16093",1,23-04-10,3,23-04-10
3979,925,8,3125,24-01-17,24-01-26,"19216",1,24-01-19,3,24-01-21
3980,809,2,3009,23-03-19,23-03-21,"11732",1,23-03-22,3,23-03-23
3981,117,2,1233,23-03-13,23-03-15,"12337",1,23-03-15,3,23-03-15
3982,920,14,3120,23-07-14,23-07-21,"11970",1,23-07-19,3,23-07-17
3983,806,13,3006,23-08-17,23-08-23,"14839",1,23-08-18,3,23-08-21
3984,426,3,2051,24-06-09,24-06-11,"12681",1,24-06-12,9,24-06-13
3985,584,8,2367,24-10-04,24-10-06,"13764",1,24-10-08,3,24-10-06
3986,820,20,3020,24-09-23,24-09-28,"14145",1,24-09-24,9,24-09-27
3987,181,14,1361,23-09-20,23-09-29,"19774",1,23-09-23,3,23-09-22
3988,956,13,3156,23-02-26,23-03-01,"11937",1,23-03-01,3,23-03-01
3989,955,7,3155,23-12-15,23-12-18,"13307",1,23-12-20,3,23-12-18
3990,70,3,1139,23-05-17,23-05-20,"17045",1,23-05-19,3,23-05-21
3991,601,3,2401,23-01-09,23-01-16,"13467",1,23-01-12,9,23-01-13
3992,867,16,3067,24-02-04,24-02-13,"12372",1,24-02-05,9,24-02-07
3993,26,16,1051,24-10-01,24-10-10,"19994",1,24-10-06,9,24-10-06
3994,944,6,3144,24-01-27,24-02-02,"13259",1,24-01-30,9,24-01-30
3995,413,7,2025,23-02-14,23-02-22,"10657",1,23-02-18,3,23-02-17
3996,452,13,2103,24-07-20,24-07-24,"19724",1,24-07-24,3,24-07-24
3997,475,7,2149,24-06-10,24-06-12,"15734",1,24-06-12,3,24-06-15
3998,905,2,3105,23-06-12,23-06-19,"11577",1,23-06-15,3,23-06-17
3999,511,6,2221,24-06-17,24-06-18,"17395",1,24-06-18,3,24-06-20
4000,582,16,2363,23-07-23,23-07-25,"11404",1,23-07-24,3,23-07-25
4001,22,8,1043,24-07-14,24-07-19,"12077",1,24-07-16,3,24-07-17
4002,530,16,2259,24-06-09,24-06-18,"13203",1,24-06-13,3,24-06-12
4003,939,13,3139,24-11-11,24-11-18,"16130",1,24-11-14,16,24-11-16
4004,447,8,2093,24-02-13,24-02-15,"15961",1,24-02-16,13,24-02-17
4005,426,3,2051,24-06-18,24-06-25,"12681",1,24-06-22,3,24-06-22
4006,820,20,3020,23-12-20,23-12-25,"14145",1,23-12-22,3,23-12-24
4007,601,3,2401,24-11-08,24-11-09,"13467",1,24-11-10,15,24-11-12
4008,867,16,3067,24-05-06,24-05-13,"12372",1,24-05-10,5,24-05-11
4009,26,16,1051,23-07-21,23-07-30,"19994",1,23-07-26,8,23-07-24
4010,944,6,3144,23-07-19,23-07-26,"13259",1,23-07-22,3,23-07-23
4011,18,15,1035,24-05-11,24-05-20,"10070",1,24-05-15,3,24-05-15
4012,193,20,1385,24-08-09,24-08-17,"18722",1,24-08-12,3,24-08-11
4013,108,7,1215,24-07-05,24-07-13,"18297",1,24-07-07,3,24-07-09
4014,415,15,2029,23-12-03,23-12-08,"16800",1,23-12-07,3,23-12-07
4015,545,8,2289,24-01-17,24-01-23,"15903",1,24-01-20,3,24-01-20
4016,875,16,3075,24-02-07,24-02-12,"13626",1,24-02-09,14,24-02-09
4017,175,16,1349,24-01-12,24-01-18,"16259",1,24-01-15,14,24-01-16
4018,859,16,3059,24-08-12,24-08-21,"12703",1,24-08-15,14,24-08-15
4019,508,2,2215,24-02-22,24-02-29,"15700",1,24-02-26,3,24-02-24
4020,951,14,3151,23-06-14,23-06-23,"17862",1,23-06-15,3,23-06-18
4021,591,2,2381,24-09-10,24-09-16,"14833",1,24-09-13,3,24-09-12
4022,497,15,2193,23-02-07,23-02-13,"17949",1,23-02-10,3,23-02-11
4023,803,14,3003,23-11-23,23-11-27,"10571",1,23-11-27,3,23-11-27
4024,954,16,3154,23-05-19,23-05-27,"11815",1,23-05-24,3,23-05-21
4025,490,7,2179,23-11-26,23-11-29,"15620",1,23-11-29,3,23-11-29
4026,898,3,3098,24-05-23,24-05-24,"12045",1,24-05-28,3,24-05-25
4027,62,3,1123,23-11-20,23-11-28,"10910",1,23-11-21,3,23-11-24
4028,968,16,3168,23-08-27,23-09-05,"16728",1,23-08-30,3,23-08-30
4029,118,13,1235,23-04-17,23-04-18,"17561",1,23-04-20,3,23-04-20
4030,1001,16,3201,23-01-25,23-02-03,"13503",1,23-01-26,3,23-01-29
4031,88,16,1175,24-12-14,24-12-18,"19132",1,24-12-17,3,24-12-19
4032,551,6,2301,24-01-23,24-01-26,"11678",1,24-01-27,3,24-01-24
4033,927,6,3127,24-12-01,24-12-03,"16008",1,24-12-05,3,24-12-06
4034,496,6,2191,24-11-11,24-11-20,"16748",1,24-11-12,3,24-11-13
4035,484,15,2167,23-08-11,23-08-17,"10992",1,23-08-15,14,23-08-13
4036,39,13,1077,23-11-21,23-11-30,"17794",1,23-11-23,3,23-11-25
4037,978,8,3178,23-10-17,23-10-22,"10354",1,23-10-20,3,23-10-19
4038,58,8,1115,24-03-06,24-03-15,"15821",1,24-03-08,3,24-03-09
4039,569,2,2337,24-05-08,24-05-12,"11246",1,24-05-12,3,24-05-10
4040,58,8,1115,23-07-10,23-07-15,"14108",1,23-07-12,3,23-07-13
4041,406,2,2011,24-10-24,24-11-02,"15971",1,24-10-27,3,24-10-26
4042,588,3,2375,24-09-16,24-09-21,"16207",1,24-09-20,3,24-09-19
4043,443,20,2085,24-04-09,24-04-13,"15251",1,24-04-14,3,24-04-12
4044,9,3,1017,24-08-02,24-08-05,"18270",1,24-08-06,3,24-08-05
4045,973,8,3173,24-07-13,24-07-15,"11785",1,24-07-15,3,24-07-14
4046,423,20,2045,23-03-28,23-04-05,"13995",1,23-03-31,14,23-04-01
4047,871,3,3071,23-11-21,23-11-27,"17875",1,23-11-23,3,23-11-23
4048,576,3,2351,23-11-09,23-11-13,"16250",1,23-11-13,3,23-11-11
4049,44,3,1087,24-02-26,24-03-02,"18472",1,24-02-29,3,24-02-28
4050,6,15,1011,23-08-02,23-08-10,"19496",1,23-08-03,3,23-08-03
4051,81,20,1161,24-07-14,24-07-19,"13730",1,24-07-18,3,24-07-17
4052,988,7,3188,23-02-03,23-02-11,"11987",1,23-02-07,3,23-02-06
4053,574,2,2347,23-09-21,23-09-29,"10189",1,23-09-23,3,23-09-24
4054,450,16,2099,23-07-01,23-07-09,"11272",1,23-07-02,3,23-07-03
4055,124,6,1247,23-11-29,23-12-07,"15344",1,23-12-02,3,23-12-01
4056,405,6,2009,24-07-02,24-07-06,"10425",1,24-07-06,14,24-07-04
4057,849,16,3049,24-07-23,24-07-29,"19548",1,24-07-27,3,24-07-24
4058,152,14,1303,23-01-05,23-01-12,"16824",1,23-01-08,3,23-01-09
4059,858,16,3058,23-12-28,24-01-06,"12762",1,23-12-31,3,23-12-30
4060,60,8,1119,23-12-16,23-12-19,"13665",1,23-12-17,3,23-12-20
4061,561,13,2321,23-09-04,23-09-09,"16868",1,23-09-07,3,23-09-07
4062,898,20,3098,23-04-30,23-05-08,"17871",1,23-05-03,3,23-05-01
4063,168,3,1335,23-05-18,23-05-20,"18937",1,23-05-22,3,23-05-20
4064,1,20,1001,23-05-15,23-05-22,"14517",1,23-05-17,3,23-05-18
4065,44,20,1087,23-01-21,23-01-26,"18077",1,23-01-24,3,23-01-22
4066,927,20,3127,23-08-16,23-08-19,"14756",1,23-08-21,3,23-08-20
4067,89,8,1177,24-07-03,24-07-11,"14029",1,24-07-06,3,24-07-07
4068,526,7,2251,23-02-09,23-02-11,"18996",1,23-02-11,3,23-02-13
4069,15,8,1029,23-07-08,23-07-09,"17524",1,23-07-13,3,23-07-12
4070,941,20,3141,23-03-04,23-03-07,"18120",1,23-03-06,14,23-03-09
4071,993,3,3193,24-06-01,24-06-05,"17970",1,24-06-02,3,24-06-02
4072,60,14,1119,23-08-10,23-08-17,"10808",1,23-08-11,3,23-08-13
4073,922,6,3122,23-10-21,23-10-31,"19017",1,23-10-23,3,23-10-25
4074,867,13,3067,23-12-03,23-12-05,"17427",1,23-12-07,3,23-12-05
4075,586,7,2371,23-09-15,23-09-17,"10967",1,23-09-17,14,23-09-17
4076,119,14,1237,24-09-11,24-09-19,"19363",1,24-09-15,3,24-09-14
4077,842,7,3042,23-03-25,23-03-31,"12230",1,23-03-29,3,23-03-27
4078,68,2,1135,24-11-10,24-11-15,"14254",1,24-11-13,3,24-11-14
4079,832,13,3032,24-09-07,24-09-13,"17143",1,24-09-09,3,24-09-10
4080,413,8,2025,24-09-21,24-09-22,"11925",1,24-09-23,14,24-09-22
4081,488,3,2175,24-08-28,24-09-05,"18111",1,24-08-31,3,24-08-31
4082,877,6,3077,23-05-06,23-05-15,"14711",1,23-05-11,3,23-05-10
4083,581,8,2361,23-04-15,23-04-19,"19049",1,23-04-16,3,23-04-19
4084,980,3,3180,24-11-23,24-11-25,"14215",1,24-11-26,3,24-11-28
4085,499,3,2197,24-10-25,24-10-27,"17040",1,24-10-28,14,24-10-27
4086,448,3,2095,23-04-16,23-04-23,"17049",1,23-04-18,3,23-04-18
4087,517,2,2233,24-02-25,24-03-01,"12110",1,24-02-27,3,24-02-27
4088,448,13,2095,23-03-25,23-03-26,"10576",1,23-03-27,3,23-03-26
4089,875,16,3075,24-10-05,24-10-14,"13626",1,24-10-09,3,24-10-06
4090,175,16,1349,24-02-02,24-02-09,"16259",1,,14,24-02-03
4091,859,16,3059,23-07-07,23-07-16,"12703",1,23-07-08,15,23-07-08
4092,484,15,2167,24-10-04,24-10-10,"10992",1,24-10-08,17,24-10-07
4093,423,20,2045,24-07-02,24-07-09,"13995",1,,14,24-07-06
4094,405,6,2009,24-09-10,24-09-11,"10425",1,24-09-14,12,24-09-14
4095,941,20,3141,23-10-19,23-10-24,"18120",1,23-10-21,6,23-10-24
4096,586,7,2371,24-09-04,24-09-07,"10967",1,24-09-08,17,24-09-05
4097,413,8,2025,24-08-01,24-08-02,"11925",1,,14,24-08-03
5148,842,8,3042,24-09-24,24-10-04,"13647",1,24-09-27,17,24-09-28
5149,536,20,2271,23-12-11,23-12-13,"18072",1,23-12-16,17,23-12-13
5150,42,6,1083,24-04-30,24-05-02,"14907",1,24-05-04,17,24-05-03
5151,106,20,1211,24-08-21,24-08-31,"13893",1,24-08-23,9,24-08-22
5152,500,8,2199,23-07-03,23-07-07,"16353",1,23-07-07,17,23-07-07
5153,925,20,3125,24-04-14,24-04-20,"14139",1,24-04-15,17,24-04-18
5154,912,16,3112,24-02-22,24-02-26,"12906",1,24-02-25,17,24-02-26
5155,860,15,3060,24-09-12,24-09-15,"14281",1,24-09-13,17,24-09-16
5156,900,15,3100,23-04-28,23-05-02,"12392",1,23-04-30,17,23-04-30
5157,487,14,2173,24-04-10,24-04-16,"11175",1,24-04-14,17,24-04-12
5158,537,8,2273,24-12-02,24-12-09,"10751",1,24-12-04,17,24-12-05
5159,47,7,1093,23-10-17,23-10-24,"15311",1,23-10-19,17,23-10-18
5160,862,2,3062,23-05-04,23-05-05,"17240",1,23-05-07,9,23-05-08
5161,110,20,1219,23-10-04,23-10-06,"17859",1,23-10-05,17,23-10-06
5162,56,2,1111,23-07-12,23-07-21,"16416",1,23-07-15,9,23-07-14
5163,133,2,1265,23-09-19,23-09-20,"14382",1,23-09-21,17,23-09-24
5164,479,20,2157,23-12-21,23-12-23,"11708",1,23-12-26,17,23-12-24
5165,502,13,2203,24-02-18,24-02-20,"19040",1,24-02-21,17,24-02-19
5166,32,3,1063,23-02-02,23-02-11,"14190",1,23-02-03,9,23-02-03
5167,511,6,2221,23-07-05,23-07-11,"12070",1,23-07-06,17,23-07-09
5168,964,6,3164,23-09-24,23-10-04,"11108",1,23-09-27,17,23-09-26
5169,195,8,1389,23-10-27,23-10-31,"13334",1,23-10-29,17,23-10-29
5170,964,14,3164,23-07-20,23-07-30,"12614",1,23-07-24,17,23-07-25
5171,7,8,1013,24-02-27,24-02-28,"17398",1,24-02-29,9,24-03-01
5172,10,13,1019,24-07-10,24-07-12,"11439",1,24-07-14,17,24-07-14
5173,57,16,1113,24-08-06,24-08-15,"10560",1,24-08-08,17,24-08-07
5174,551,13,2301,23-01-11,23-01-18,"13104",1,23-01-15,17,23-01-15
5175,966,8,3166,24-04-03,24-04-06,"16857",1,24-04-05,17,24-04-07
5176,75,13,1149,24-09-17,24-09-20,"19813",1,24-09-21,17,24-09-22
5177,475,16,2149,23-08-27,23-09-02,"11528",1,23-08-29,9,23-08-31
5178,571,7,2341,24-12-28,25-01-04,"18811",1,24-12-31,17,24-12-30
5179,479,14,2157,23-04-08,23-04-16,"12820",1,23-04-12,17,23-04-13
5180,942,3,3142,23-02-26,23-02-28,"16316",1,23-02-27,17,23-02-27
5181,935,16,3135,23-11-09,23-11-14,"15310",1,23-11-14,17,23-11-12
5182,984,8,3184,24-04-16,24-04-20,"12754",1,24-04-20,17,24-04-17
5183,185,14,1369,23-11-29,23-12-05,"18371",1,23-11-30,17,23-12-01
5184,115,16,1229,23-04-26,23-04-29,"10289",1,23-04-30,17,23-04-30
5185,82,2,1163,24-01-27,24-02-01,"18884",1,24-01-29,17,24-01-31
5186,35,16,1069,24-07-23,24-07-27,"15714",1,24-07-25,17,24-07-28
5187,15,6,1029,24-04-29,24-05-01,"19748",1,24-04-30,17,24-05-01
5188,476,15,2151,24-06-30,24-07-09,"12480",1,24-07-04,17,24-07-02
5189,931,8,3131,24-01-28,24-01-30,"17424",1,24-01-29,17,24-01-31
5190,111,7,1221,24-03-24,24-03-28,"16129",1,24-03-28,17,24-03-28
5191,563,3,2325,23-03-20,23-03-24,"17024",1,23-03-25,17,23-03-22
5192,584,13,2367,24-11-13,24-11-16,"18448",1,24-11-15,17,24-11-17
5193,26,3,1051,23-05-12,23-05-21,"14377",1,23-05-15,9,23-05-17
5194,437,3,2073,23-11-10,23-11-12,"11376",1,23-11-15,17,23-11-11
5195,874,20,3074,23-11-22,23-12-01,"14470",1,23-11-24,17,23-11-24
5196,449,20,2097,23-06-04,23-06-10,"19411",1,23-06-05,17,23-06-09
5197,496,6,2191,24-05-31,24-06-02,"15141",1,24-06-04,17,24-06-04
5198,20,8,1039,24-05-15,24-05-21,"10800",1,24-05-19,17,24-05-18
5199,179,7,1357,24-06-30,24-07-02,"15419",1,24-07-05,17,24-07-04
5200,564,16,2327,24-03-04,24-03-07,"10274",1,24-03-08,17,24-03-09
5201,516,20,2231,24-10-29,24-11-04,"19664",1,24-11-03,17,24-10-31
5202,92,14,1183,24-10-28,24-11-04,"17828",1,24-10-30,9,24-11-02
5203,858,2,3058,23-03-18,23-03-23,"13771",1,23-03-23,17,23-03-22
5204,586,7,2371,24-11-28,24-12-07,"15050",1,24-12-02,17,24-12-02
5205,811,8,3011,23-09-23,23-09-29,"12262",1,23-09-28,9,23-09-27
5206,873,13,3073,24-07-30,24-08-07,"13011",1,24-08-01,17,24-08-04
5207,145,8,1289,24-12-09,24-12-15,"15203",1,24-12-13,17,24-12-11
5208,920,8,3120,23-07-12,23-07-19,"14282",1,23-07-17,17,23-07-15
5209,480,8,2159,24-02-10,24-02-15,"17308",1,24-02-13,9,24-02-11
5210,990,20,3190,23-06-08,23-06-11,"13807",1,23-06-13,17,23-06-12
5211,889,3,3089,24-01-31,24-02-06,"11187",1,24-02-04,17,24-02-04
5212,52,2,1103,23-12-13,23-12-19,"17251",1,23-12-16,17,23-12-15
5213,159,14,1317,24-04-06,24-04-14,"19763",1,24-04-08,9,24-04-08
5214,985,15,3185,24-10-16,24-10-25,"14522",1,24-10-20,17,24-10-21
5215,982,3,3182,23-02-13,23-02-19,"19795",1,23-02-15,17,23-02-15
5216,19,3,1037,23-07-09,23-07-11,"15155",1,23-07-12,17,23-07-13
5217,143,14,1285,24-10-21,24-10-26,"17549",1,24-10-26,9,24-10-23
5218,454,6,2107,23-04-19,23-04-27,"17063",1,23-04-23,17,23-04-24
5219,871,13,3071,23-02-15,23-02-21,"19981",1,23-02-17,17,23-02-17
5220,528,3,2255,23-05-30,23-06-07,"11251",1,23-05-31,17,23-06-02
5221,575,7,2349,23-08-19,23-08-28,"13363",1,23-08-22,17,23-08-21
5222,959,7,3159,24-01-05,24-01-12,"14498",1,24-01-07,9,24-01-08
5223,7,8,1013,24-11-22,24-11-30,"17398",1,24-11-24,17,24-11-25
5224,26,3,1051,23-08-31,23-09-04,"14377",1,23-09-03,17,23-09-03
5225,32,3,1063,23-01-03,23-01-09,"14190",1,,9,23-01-08
5226,56,2,1111,24-03-31,24-04-03,"16416",1,,9,24-04-01
5227,92,14,1183,23-01-14,23-01-22,"17828",1,,9,23-01-17
5228,106,20,1211,24-03-13,24-03-20,"13893",1,24-03-14,17,24-03-17
5229,143,14,1285,24-08-18,24-08-24,"17549",1,24-08-21,17,24-08-21
5230,159,14,1317,24-03-05,24-03-10,"19763",1,24-03-10,7,24-03-10
5231,475,16,2149,24-03-05,24-03-09,"11528",1,24-03-10,17,24-03-07
5232,480,8,2159,23-07-04,23-07-11,"17308",1,23-07-07,3,23-07-05
5233,811,8,3011,23-03-15,23-03-19,"12262",1,23-03-16,17,23-03-16
5234,862,2,3062,23-02-25,23-03-06,"17240",1,23-02-28,6,23-03-02
5235,959,7,3159,23-02-14,23-02-18,"14498",1,23-02-18,7,23-02-17
5236,856,7,3056,23-01-28,23-01-31,"19112",1,23-01-29,4,23-01-31
5237,884,15,3084,24-06-20,24-06-30,"14281",1,24-06-22,14,24-06-22
5238,107,13,1213,24-04-12,24-04-15,"18664",1,24-04-14,14,24-04-17
5239,581,13,2361,24-06-29,24-07-03,"15217",1,24-07-01,14,24-07-03
5240,869,14,3069,23-12-06,23-12-08,"15296",1,23-12-08,14,23-12-08
5241,548,16,2295,23-09-28,23-10-06,"19715",1,23-10-01,14,23-10-02
5242,872,13,3072,24-01-24,24-01-30,"12139",1,24-01-27,14,24-01-28
5243,497,16,2193,24-07-27,24-07-29,"15310",1,24-08-01,14,24-07-31
5244,962,6,3162,24-03-13,24-03-23,"18093",1,24-03-16,14,24-03-16
5245,126,16,1251,23-07-14,23-07-17,"17000",1,23-07-17,14,23-07-19
5246,2,14,1003,24-10-14,24-10-21,"10820",1,24-10-19,14,24-10-19
5247,77,7,1153,24-04-18,24-04-22,"18614",1,24-04-22,14,24-04-21
5248,140,3,1279,24-12-26,25-01-02,"10987",1,24-12-27,4,24-12-29
5249,89,14,1177,23-02-12,23-02-14,"10471",1,23-02-13,14,23-02-15
5250,473,8,2145,24-07-27,24-08-03,"11610",1,24-07-29,14,24-07-30
5251,172,3,1343,23-02-02,23-02-06,"18488",1,23-02-07,14,23-02-04
5252,117,14,1233,23-06-01,23-06-06,"19392",1,23-06-03,14,23-06-02
4098,499,3,2197,24-01-22,24-01-30,"17040",1,24-01-26,16,24-01-24
4099,404,20,2007,24-06-05,24-06-09,"18395",1,24-06-06,13,24-06-06
4100,805,20,3005,23-02-20,23-02-24,"19018",1,23-02-22,13,23-02-23
4101,926,16,3126,23-06-22,23-06-29,"15733",1,23-06-24,13,23-06-27
4102,590,16,2379,23-04-30,23-05-02,"14034",1,23-05-02,13,23-05-03
4103,434,14,2067,24-06-06,24-06-14,"17070",1,24-06-10,13,24-06-08
4104,504,8,2207,24-02-13,24-02-20,"14707",1,24-02-15,13,24-02-15
4105,26,7,1051,23-02-15,23-02-18,"18316",1,23-02-20,13,23-02-17
4106,555,7,2309,23-04-18,23-04-24,"16573",1,23-04-22,13,23-04-22
4107,57,3,1113,24-12-20,24-12-22,"12936",1,24-12-23,13,24-12-21
4108,984,20,3184,23-10-30,23-11-04,"12015",1,23-10-31,13,23-10-31
4109,585,16,2369,23-09-18,23-09-25,"15468",1,23-09-20,13,23-09-20
